,Song,Artist,Genre,Position,Year,Week
18418,Vi,Pablo López,"Jazz, Latin, Nueva Trova, Latin Jazz",24,2013,43
18419,I love it,Icona Pop;Charli XCX,"Electronic, Pop, Electro, Synth-pop",25,2013,43
18420,Turn the night up,Enrique Iglesias,"Electronic, Progressive House, House",26,2013,43
18421,Safe and sound,Capital Cities,"Electronic, Pop, Synth-pop, Leftfield",27,2013,43
18422,Cheque al portamor,Melendi,"Pop, Pop Rock, Rock",28,2013,43
18423,Come with me,Ricky Martin,"Pop, Electronic, Latin, Europop, Dance-pop",29,2013,43
18424,The other side,Jason Derülo,"Electronic, Europop, Pop, Euro House",30,2013,43
18425,You're nobody 'til somebody loves you,James Arthur,Pop,31,2013,43
18426,Timber,Pitbull;Ke$ha,"Pop Rap, Hip Hop",32,2013,43
18427,On top of the world,Imagine Dragons,"Pop, Pop Rock, Alternative Rock, Rock",33,2013,43
18428,Infatuated,Sweet California,Pop,34,2013,43
18429,This game is over,Alejandro Sanz;Emeli Sandé;Jamie Foxx,"Pop, Soft Rock, Ballad, Latin, Pop Rock",35,2013,43
18430,Despacito y con buena letra,El Viaje de Elliot,unknown,36,2013,43
18431,Play hard,David Guetta;Akon;Ne-Yo,"Electronic, House, Electro House",37,2013,43
18432,Live it up,Jennifer López;Pitbull,"Electronic, Pop, Eurodance, Electro House",38,2013,43
18433,Now is the time,Wally López;Jasmine V,"Electronic, Tech House, Trance, House",39,2013,43
18434,Live your life,Mika,Pop,40,2013,43
18435,Love me again,John Newman,"Pop, Soul, Electronic, Funk / Soul, Drum n Bass, House, Vocal",1,2013,44
18436,Roar,Katy Perry,Pop,2,2013,44
18437,Wake me up!,Avicii;Aloe Blacc,"Electronic, Progressive House",3,2013,44
18438,Can't hold us,Macklemore & Ryan Lewis;Ray Dalton,Hip Hop,4,2013,44
18439,Burn,Ellie Goulding,Pop,5,2013,44
18440,Éxtasis,Pablo Alborán,"Vocal, Pop, Latin",6,2013,44
18441,We can't stop,Miley Cyrus,Pop,7,2013,44
18442,La la la,Naughty Boy;Sam Smith,"Electronic, Pop, Garage House, House",8,2013,44
18443,Counting stars,OneRepublic,Pop,9,2013,44
18444,Wrecking ball,Miley Cyrus,Pop,10,2013,44
18445,Treasure,Bruno Mars,"Electronic, Pop, Dance-pop, Hip Hop",11,2013,44
18446,A prueba de ti,Malú,"Pop, Ballad, Latin, Europop, Vocal",12,2013,44
18447,Applause,Lady GaGa,"Electronic, Pop, Electro, Synth-pop",13,2013,44
18448,Make my day,Auryn,"Pop, Pop Rock, Rock",14,2013,44
18449,Blurred lines,Robin Thicke;Pharrell Williams;T.I.,"Electronic, Funk / Soul, Pop Rap, Hip Hop, RnB/Swing, Electro House",15,2013,44
18450,Qué bonita la vida,Dani Martín,"Pop, Pop Rock, Rock",16,2013,44
18451,Royals,Lorde,"Electronic, Hip-House, House, Hip Hop",17,2013,44
18452,You make me,Avicii;Salem Al Fakir,"Electronic, House",18,2013,44
18453,Best song ever,One Direction,"Pop, Pop Rock, Rock",19,2013,44
18454,Vi,Pablo López,"Jazz, Latin, Nueva Trova, Latin Jazz",20,2013,44
18455,True love,P!nk;Lily Allen,"Pop, Pop Rock, Rock",21,2013,44
18456,El primer día del resto de mi vida,La Oreja de Van Gogh,"Pop, Pop Rock, Rock",22,2013,44
18457,I need your love,Calvin Harris;Ellie Goulding,"Electronic, Electro, EBM, House",23,2013,44
18458,Let her go,Passenger,"Pop, Folk, World, & Country",24,2013,44
18459,Come with me,Ricky Martin,"Pop, Electronic, Latin, Europop, Dance-pop",25,2013,44
18460,Cheque al portamor,Melendi,"Pop, Pop Rock, Rock",26,2013,44
18461,I love it,Icona Pop;Charli XCX,"Electronic, Pop, Electro, Synth-pop",27,2013,44
18462,You're nobody 'til somebody loves you,James Arthur,Pop,28,2013,44
18463,Turn the night up,Enrique Iglesias,"Electronic, Progressive House, House",29,2013,44
18464,Timber,Pitbull;Ke$ha,"Pop Rap, Hip Hop",30,2013,44
18465,Llegará,Antonio Orozco,"Pop, Ballad, Latin, Rock, Pop Rock",31,2013,44
18466,Safe and sound,Capital Cities,"Electronic, Pop, Synth-pop, Leftfield",32,2013,44
18467,Infatuated,Sweet California,Pop,33,2013,44
18468,This game is over,Alejandro Sanz;Emeli Sandé;Jamie Foxx,"Pop, Soft Rock, Ballad, Latin, Pop Rock",34,2013,44
18469,The other side,Jason Derülo,"Electronic, Europop, Pop, Euro House",35,2013,44
18470,Despacito y con buena letra,El Viaje de Elliot,unknown,36,2013,44
18471,Plastic,Soraya,"Pop, Synth-pop, Electronic, Electro, Europop, Eurodance",37,2013,44
18472,On top of the world,Imagine Dragons,"Pop, Pop Rock, Alternative Rock, Rock",38,2013,44
18473,Now is the time,Wally López;Jasmine V,"Electronic, Tech House, Trance, House",39,2013,44
18474,Play hard,David Guetta;Akon;Ne-Yo,"Electronic, House, Electro House",40,2013,44
18475,Wrecking ball,Miley Cyrus,Pop,1,2013,45
18476,Love me again,John Newman,"Pop, Soul, Electronic, Funk / Soul, Drum n Bass, House, Vocal",2,2013,45
18477,Can't hold us,Macklemore & Ryan Lewis;Ray Dalton,Hip Hop,3,2013,45
18478,Burn,Ellie Goulding,Pop,4,2013,45
18479,Wake me up!,Avicii;Aloe Blacc,"Electronic, Progressive House",5,2013,45
18480,Éxtasis,Pablo Alborán,"Vocal, Pop, Latin",6,2013,45
18481,Counting stars,OneRepublic,Pop,7,2013,45
18482,Roar,Katy Perry,Pop,8,2013,45
18483,We can't stop,Miley Cyrus,Pop,9,2013,45
18484,Royals,Lorde,"Electronic, Hip-House, House, Hip Hop",10,2013,45
18485,A prueba de ti,Malú,"Pop, Ballad, Latin, Europop, Vocal",11,2013,45
18486,La la la,Naughty Boy;Sam Smith,"Electronic, Pop, Garage House, House",12,2013,45
18487,You make me,Avicii;Salem Al Fakir,"Electronic, House",13,2013,45
18488,Qué bonita la vida,Dani Martín,"Pop, Pop Rock, Rock",14,2013,45
18489,Make my day,Auryn,"Pop, Pop Rock, Rock",15,2013,45
18490,Applause,Lady GaGa,"Electronic, Pop, Electro, Synth-pop",16,2013,45
18491,Vi,Pablo López,"Jazz, Latin, Nueva Trova, Latin Jazz",17,2013,45
18492,Treasure,Bruno Mars,"Electronic, Pop, Dance-pop, Hip Hop",18,2013,45
18493,Come with me,Ricky Martin,"Pop, Electronic, Latin, Europop, Dance-pop",19,2013,45
18494,El primer día del resto de mi vida,La Oreja de Van Gogh,"Pop, Pop Rock, Rock",20,2013,45
18495,Blurred lines,Robin Thicke;Pharrell Williams;T.I.,"Electronic, Funk / Soul, Pop Rap, Hip Hop, RnB/Swing, Electro House",21,2013,45
18496,Timber,Pitbull;Ke$ha,"Pop Rap, Hip Hop",22,2013,45
18497,True love,P!nk;Lily Allen,"Pop, Pop Rock, Rock",23,2013,45
18498,You're nobody 'til somebody loves you,James Arthur,Pop,24,2013,45
18499,Let her go,Passenger,"Pop, Folk, World, & Country",25,2013,45
18500,Cheque al portamor,Melendi,"Pop, Pop Rock, Rock",26,2013,45
18501,I need your love,Calvin Harris;Ellie Goulding,"Electronic, Electro, EBM, House",27,2013,45
18502,Llegará,Antonio Orozco,"Pop, Ballad, Latin, Rock, Pop Rock",28,2013,45
18503,Best song ever,One Direction,"Pop, Pop Rock, Rock",29,2013,45
18504,I love it,Icona Pop;Charli XCX,"Electronic, Pop, Electro, Synth-pop",30,2013,45
18505,Turn the night up,Enrique Iglesias,"Electronic, Progressive House, House",31,2013,45
18506,This game is over,Alejandro Sanz;Emeli Sandé;Jamie Foxx,"Pop, Soft Rock, Ballad, Latin, Pop Rock",32,2013,45
18507,Infatuated,Sweet California,Pop,33,2013,45
18508,Story of my life,One Direction,Pop,34,2013,45
18509,Despacito y con buena letra,El Viaje de Elliot,unknown,35,2013,45
18510,Plastic,Soraya,"Pop, Synth-pop, Electronic, Electro, Europop, Eurodance",36,2013,45
18511,Hand on heart,Olly Murs;Edurne,Pop,37,2013,45
18512,Now is the time,Wally López;Jasmine V,"Electronic, Tech House, Trance, House",38,2013,45
18513,Live forever,Marien Baker;Shaun Frank,"Electronic, House, Electro House",39,2013,45
18514,On top of the world,Imagine Dragons,"Pop, Pop Rock, Alternative Rock, Rock",40,2013,45
18515,Wrecking ball,Miley Cyrus,Pop,1,2013,46
18516,Love me again,John Newman,"Pop, Soul, Electronic, Funk / Soul, Drum n Bass, House, Vocal",2,2013,46
18517,Burn,Ellie Goulding,Pop,3,2013,46
18518,Counting stars,OneRepublic,Pop,4,2013,46
18519,Can't hold us,Macklemore & Ryan Lewis;Ray Dalton,Hip Hop,5,2013,46
18520,Royals,Lorde,"Electronic, Hip-House, House, Hip Hop",6,2013,46
18521,Wake me up!,Avicii;Aloe Blacc,"Electronic, Progressive House",7,2013,46
18522,Éxtasis,Pablo Alborán,"Vocal, Pop, Latin",8,2013,46
18523,A prueba de ti,Malú,"Pop, Ballad, Latin, Europop, Vocal",9,2013,46
18524,We can't stop,Miley Cyrus,Pop,10,2013,46
18525,You make me,Avicii;Salem Al Fakir,"Electronic, House",11,2013,46
18526,Qué bonita la vida,Dani Martín,"Pop, Pop Rock, Rock",12,2013,46
18527,La la la,Naughty Boy;Sam Smith,"Electronic, Pop, Garage House, House",13,2013,46
18528,Vi,Pablo López,"Jazz, Latin, Nueva Trova, Latin Jazz",14,2013,46
18529,Roar,Katy Perry,Pop,15,2013,46
18530,Come with me,Ricky Martin,"Pop, Electronic, Latin, Europop, Dance-pop",16,2013,46
18531,Timber,Pitbull;Ke$ha,"Pop Rap, Hip Hop",17,2013,46
18532,Applause,Lady GaGa,"Electronic, Pop, Electro, Synth-pop",18,2013,46
18533,You're nobody 'til somebody loves you,James Arthur,Pop,19,2013,46
18534,The monster,Eminem;Rihanna,"Pop Rap, Pop, Hip Hop",20,2013,46
18535,Treasure,Bruno Mars,"Electronic, Pop, Dance-pop, Hip Hop",21,2013,46
18536,True love,P!nk;Lily Allen,"Pop, Pop Rock, Rock",22,2013,46
18537,El primer día del resto de mi vida,La Oreja de Van Gogh,"Pop, Pop Rock, Rock",23,2013,46
18538,Llegará,Antonio Orozco,"Pop, Ballad, Latin, Rock, Pop Rock",24,2013,46
18539,Cheque al portamor,Melendi,"Pop, Pop Rock, Rock",25,2013,46
18540,Make my day,Auryn,"Pop, Pop Rock, Rock",26,2013,46
18541,Blurred lines,Robin Thicke;Pharrell Williams;T.I.,"Electronic, Funk / Soul, Pop Rap, Hip Hop, RnB/Swing, Electro House",27,2013,46
18542,Let her go,Passenger,"Pop, Folk, World, & Country",28,2013,46
18543,I need your love,Calvin Harris;Ellie Goulding,"Electronic, Electro, EBM, House",29,2013,46
18544,Story of my life,One Direction,Pop,30,2013,46
18545,This game is over,Alejandro Sanz;Emeli Sandé;Jamie Foxx,"Pop, Soft Rock, Ballad, Latin, Pop Rock",31,2013,46
18546,Plastic,Soraya,"Pop, Synth-pop, Electronic, Electro, Europop, Eurodance",32,2013,46
18547,I love it,Icona Pop;Charli XCX,"Electronic, Pop, Electro, Synth-pop",33,2013,46
18548,Hand on heart,Olly Murs;Edurne,Pop,34,2013,46
18549,Despacito y con buena letra,El Viaje de Elliot,unknown,35,2013,46
18550,Live forever,Marien Baker;Shaun Frank,"Electronic, House, Electro House",36,2013,46
18551,Infatuated,Sweet California,Pop,37,2013,46
18552,La de la mala suerte,Jesse & Joy;Pablo Alborán,"Pop, Ballad, Latin, Rock, Pop Rock",38,2013,46
18553,Turn the night up,Enrique Iglesias,"Electronic, Progressive House, House",39,2013,46
18554,Now is the time,Wally López;Jasmine V,"Electronic, Tech House, Trance, House",40,2013,46
18555,Burn,Ellie Goulding,Pop,1,2013,47
18556,Wrecking ball,Miley Cyrus,Pop,2,2013,47
18557,Counting stars,OneRepublic,Pop,3,2013,47
18558,Love me again,John Newman,"Pop, Soul, Electronic, Funk / Soul, Drum n Bass, House, Vocal",4,2013,47
18559,Royals,Lorde,"Electronic, Hip-House, House, Hip Hop",5,2013,47
18560,Can't hold us,Macklemore & Ryan Lewis;Ray Dalton,Hip Hop,6,2013,47
18561,Wake me up!,Avicii;Aloe Blacc,"Electronic, Progressive House",7,2013,47
18562,A prueba de ti,Malú,"Pop, Ballad, Latin, Europop, Vocal",8,2013,47
18563,We can't stop,Miley Cyrus,Pop,9,2013,47
18564,Timber,Pitbull;Ke$ha,"Pop Rap, Hip Hop",10,2013,47
18565,You make me,Avicii;Salem Al Fakir,"Electronic, House",11,2013,47
18566,Éxtasis,Pablo Alborán,"Vocal, Pop, Latin",12,2013,47
18567,Come with me,Ricky Martin,"Pop, Electronic, Latin, Europop, Dance-pop",13,2013,47
18568,Vi,Pablo López,"Jazz, Latin, Nueva Trova, Latin Jazz",14,2013,47
18569,The monster,Eminem;Rihanna,"Pop Rap, Pop, Hip Hop",15,2013,47
18570,Qué bonita la vida,Dani Martín,"Pop, Pop Rock, Rock",16,2013,47
18571,You're nobody 'til somebody loves you,James Arthur,Pop,17,2013,47
18572,La la la,Naughty Boy;Sam Smith,"Electronic, Pop, Garage House, House",18,2013,47
18573,Roar,Katy Perry,Pop,19,2013,47
18574,Applause,Lady GaGa,"Electronic, Pop, Electro, Synth-pop",20,2013,47
18575,Llegará,Antonio Orozco,"Pop, Ballad, Latin, Rock, Pop Rock",21,2013,47
18576,Treasure,Bruno Mars,"Electronic, Pop, Dance-pop, Hip Hop",22,2013,47
18577,True love,P!nk;Lily Allen,"Pop, Pop Rock, Rock",23,2013,47
18578,Cheque al portamor,Melendi,"Pop, Pop Rock, Rock",24,2013,47
18579,Story of my life,One Direction,Pop,25,2013,47
18580,El primer día del resto de mi vida,La Oreja de Van Gogh,"Pop, Pop Rock, Rock",26,2013,47
18581,Let her go,Passenger,"Pop, Folk, World, & Country",27,2013,47
18582,Make my day,Auryn,"Pop, Pop Rock, Rock",28,2013,47
18583,This game is over,Alejandro Sanz;Emeli Sandé;Jamie Foxx,"Pop, Soft Rock, Ballad, Latin, Pop Rock",29,2013,47
18584,Talk dirty,Jason Derülo;2 Chainz,Pop,30,2013,47
18585,Plastic,Soraya,"Pop, Synth-pop, Electronic, Electro, Europop, Eurodance",31,2013,47
18586,Hand on heart,Olly Murs;Edurne,Pop,32,2013,47
18587,Blurred lines,Robin Thicke;Pharrell Williams;T.I.,"Electronic, Funk / Soul, Pop Rap, Hip Hop, RnB/Swing, Electro House",33,2013,47
18588,Live forever,Marien Baker;Shaun Frank,"Electronic, House, Electro House",34,2013,47
18589,Hard out here,Lily Allen,"Electronic, Pop, Synth-pop",35,2013,47
18590,La de la mala suerte,Jesse & Joy;Pablo Alborán,"Pop, Ballad, Latin, Rock, Pop Rock",36,2013,47
18591,Despacito y con buena letra,El Viaje de Elliot,unknown,37,2013,47
18592,I love it,Icona Pop;Charli XCX,"Electronic, Pop, Electro, Synth-pop",38,2013,47
18593,I need your love,Calvin Harris;Ellie Goulding,"Electronic, Electro, EBM, House",39,2013,47
18594,Infatuated,Sweet California,Pop,40,2013,47
18595,Do what u want,Lady GaGa;R. Kelly,"Electronic, Pop, Electro, Synth-pop",1,2013,48
18596,Counting stars,OneRepublic,Pop,2,2013,48
18597,Wrecking ball,Miley Cyrus,Pop,3,2013,48
18598,Unconditionally,Katy Perry,Pop,4,2013,48
18599,Burn,Ellie Goulding,Pop,5,2013,48
18600,Hard out here,Lily Allen,"Electronic, Pop, Synth-pop",6,2013,48
18601,Royals,Lorde,"Electronic, Hip-House, House, Hip Hop",7,2013,48
18602,Talk dirty,Jason Derülo;2 Chainz,Pop,8,2013,48
18603,Love me again,John Newman,"Pop, Soul, Electronic, Funk / Soul, Drum n Bass, House, Vocal",9,2013,48
18604,Story of my life,One Direction,Pop,10,2013,48
18605,The monster,Eminem;Rihanna,"Pop Rap, Pop, Hip Hop",11,2013,48
18606,Timber,Pitbull;Ke$ha,"Pop Rap, Hip Hop",12,2013,48
18607,La de la mala suerte,Jesse & Joy;Pablo Alborán,"Pop, Ballad, Latin, Rock, Pop Rock",13,2013,48
18608,Can't hold us,Macklemore & Ryan Lewis;Ray Dalton,Hip Hop,14,2013,48
18609,Wake me up!,Avicii;Aloe Blacc,"Electronic, Progressive House",15,2013,48
18610,Live forever,Marien Baker;Shaun Frank,"Electronic, House, Electro House",16,2013,48
18611,A prueba de ti,Malú,"Pop, Ballad, Latin, Europop, Vocal",17,2013,48
18612,Hand on heart,Olly Murs;Edurne,Pop,18,2013,48
18613,Counting stars,OneRepublic,Pop,19,2013,48
18614,The monster,Eminem;Rihanna,"Pop Rap, Pop, Hip Hop",20,2013,48
18615,Wrecking ball,Miley Cyrus,Pop,21,2013,48
18616,You make me,Avicii;Salem Al Fakir,"Electronic, House",22,2013,48
18617,Burn,Ellie Goulding,Pop,23,2013,48
18618,We can't stop,Miley Cyrus,Pop,24,2013,48
18619,Come with me,Ricky Martin,"Pop, Electronic, Latin, Europop, Dance-pop",25,2013,48
18620,Royals,Lorde,"Electronic, Hip-House, House, Hip Hop",26,2013,48
18621,Éxtasis,Pablo Alborán,"Vocal, Pop, Latin",27,2013,48
18622,Timber,Pitbull;Ke$ha,"Pop Rap, Hip Hop",28,2013,48
18623,You're nobody 'til somebody loves you,James Arthur,Pop,29,2013,48
18624,Can't hold us,Macklemore & Ryan Lewis;Ray Dalton,Hip Hop,30,2013,48
18625,Love me again,John Newman,"Pop, Soul, Electronic, Funk / Soul, Drum n Bass, House, Vocal",31,2013,48
18626,Vi,Pablo López,"Jazz, Latin, Nueva Trova, Latin Jazz",32,2013,48
18627,Qué bonita la vida,Dani Martín,"Pop, Pop Rock, Rock",33,2013,48
18628,Wake me up!,Avicii;Aloe Blacc,"Electronic, Progressive House",34,2013,48
18629,La la la,Naughty Boy;Sam Smith,"Electronic, Pop, Garage House, House",35,2013,48
18630,A prueba de ti,Malú,"Pop, Ballad, Latin, Europop, Vocal",36,2013,48
18631,You make me,Avicii;Salem Al Fakir,"Electronic, House",37,2013,48
18632,Llegará,Antonio Orozco,"Pop, Ballad, Latin, Rock, Pop Rock",38,2013,48
18633,We can't stop,Miley Cyrus,Pop,39,2013,48
18634,Story of my life,One Direction,Pop,40,2013,48
18635,Come with me,Ricky Martin,"Pop, Electronic, Latin, Europop, Dance-pop",41,2013,48
18636,Talk dirty,Jason Derülo;2 Chainz,Pop,42,2013,48
18637,Applause,Lady GaGa,"Electronic, Pop, Electro, Synth-pop",43,2013,48
18638,You're nobody 'til somebody loves you,James Arthur,Pop,44,2013,48
18639,Roar,Katy Perry,Pop,45,2013,48
18640,Llegará,Antonio Orozco,"Pop, Ballad, Latin, Rock, Pop Rock",46,2013,48
18641,Plastic,Soraya,"Pop, Synth-pop, Electronic, Electro, Europop, Eurodance",47,2013,48
18642,True love,P!nk;Lily Allen,"Pop, Pop Rock, Rock",48,2013,48
18643,Cheque al portamor,Melendi,"Pop, Pop Rock, Rock",49,2013,48
18644,Hecho con tus sueños,Efecto Pasillo;Leire Martínez,"Pop, Pop Rock, Rock",50,2013,48
18645,Treasure,Bruno Mars,"Electronic, Pop, Dance-pop, Hip Hop",51,2013,48
18646,Qué bonita la vida,Dani Martín,"Pop, Pop Rock, Rock",52,2013,48
18647,Let her go,Passenger,"Pop, Folk, World, & Country",53,2013,48
18648,Éxtasis,Pablo Alborán,"Vocal, Pop, Latin",54,2013,48
18649,This game is over,Alejandro Sanz;Emeli Sandé;Jamie Foxx,"Pop, Soft Rock, Ballad, Latin, Pop Rock",55,2013,48
18650,Vi,Pablo López,"Jazz, Latin, Nueva Trova, Latin Jazz",56,2013,48
18651,La la la,Naughty Boy;Sam Smith,"Electronic, Pop, Garage House, House",57,2013,48
18652,Hand on heart,Olly Murs;Edurne,Pop,58,2013,48
18653,Plastic,Soraya,"Pop, Synth-pop, Electronic, Electro, Europop, Eurodance",59,2013,48
18654,Applause,Lady GaGa,"Electronic, Pop, Electro, Synth-pop",60,2013,48
18655,Roar,Katy Perry,Pop,61,2013,48
18656,Hard out here,Lily Allen,"Electronic, Pop, Synth-pop",62,2013,48
18657,Cheque al portamor,Melendi,"Pop, Pop Rock, Rock",63,2013,48
18658,Unconditionally,Katy Perry,Pop,64,2013,48
18659,Live forever,Marien Baker;Shaun Frank,"Electronic, House, Electro House",65,2013,48
18660,This game is over,Alejandro Sanz;Emeli Sandé;Jamie Foxx,"Pop, Soft Rock, Ballad, Latin, Pop Rock",66,2013,48
18661,Make my day,Auryn,"Pop, Pop Rock, Rock",67,2013,48
18662,Now is the time,Wally López;Jasmine V,"Electronic, Tech House, Trance, House",68,2013,48
18663,On top of the world,Imagine Dragons,"Pop, Pop Rock, Alternative Rock, Rock",69,2013,48
18664,El primer día del resto de mi vida,La Oreja de Van Gogh,"Pop, Pop Rock, Rock",70,2013,48
18665,La de la mala suerte,Jesse & Joy;Pablo Alborán,"Pop, Ballad, Latin, Rock, Pop Rock",71,2013,48
18666,Locked out of heaven,Bruno Mars,"Electronic, Progressive House, Electro, House, Dub, Reggae",72,2013,48
18667,Despacito y con buena letra,El Viaje de Elliot,unknown,73,2013,48
18668,Titanium,David Guetta;Sia,"Pop, Synth-pop, Electronic, Euro House, Electro",74,2013,48
18669,Ho hey,The Lumineers,"Folk Rock, Rock, Blues, Folk, World, & Country, Folk, Indie Rock, Alternative Rock",75,2013,48
18670,Disaster,Mario Jefferson;JoJo,Pop,76,2013,48
18671,Let her go,Passenger,"Pop, Folk, World, & Country",77,2013,48
18672,Hecho con tus sueños,Efecto Pasillo;Leire Martínez,"Pop, Pop Rock, Rock",78,2013,48
18673,Blurred lines,Robin Thicke;Pharrell Williams;T.I.,"Electronic, Funk / Soul, Pop Rap, Hip Hop, RnB/Swing, Electro House",79,2013,48
18674,Try,P!nk,"Pop, Pop Rock, Rock",80,2013,48
18675,I could be the one,Avicii;Nicky Romero,"Electronic, Progressive House, Dubstep",81,2013,48
18676,Diamonds,Rihanna,"Pop, Electronic, Hip Hop, Dance-pop, Reggae, Rhythm & Blues",82,2013,48
18677,Thrift shop,Macklemore & Ryan Lewis;Wanz,"Electronic, Jazzy Hip-Hop, Hip Hop, Electro House",83,2013,48
18678,Don't you worry child,Swedish House Mafia;John Martin,"Electronic, Progressive House, House",84,2013,48
18679,Scream & shout,Will.I.Am;Britney Spears,"Electronic, Pop, Electro House",85,2013,48
18680,More than friends,Inna;Daddy Yankee,"Electronic, Electro",86,2013,48
18681,Rolling in the deep,Adele,"Pop, Electronic, Funk / Soul, Downtempo, IDM, Future Jazz, Dub",87,2013,48
18682,Someone like you,Adele,"Electronic, Euro House, Deep House, House, Dubstep",88,2013,48
18683,Set fire to the rain,Adele,"Electronic, House",89,2013,48
18684,Tu jardín con enanitos,Melendi,"Pop, Pop Rock, Rock",90,2013,48
18685,Mr. Saxobeat,Alexandra Stan,"Electronic, Funk / Soul, House, Dubstep",91,2013,48
18686,Girl on fire,Alicia Keys,"Jazz, Funk / Soul, RnB/Swing",92,2013,48
18687,Levels,Avicii;Etta James,"Electronic, Electro, Progressive House, Dubstep",93,2013,48
18688,Good feeling,Flo Rida,"Electronic, Electro, Progressive House, Hip Hop",94,2013,48
18689,If I were a boy,Beyoncé,"Contemporary R&B, Pop, Ballad, Funk / Soul, Europop",95,2013,48
18690,Halo,Beyoncé,"Pop, Ballad, Electronic, Electro, House",96,2013,48
18691,Get lucky,Daft Punk;Pharrell Williams,"Disco, Electronic, Funk / Soul, Electro, Funk",97,2013,48
18692,Till the world ends,Britney Spears,"Electronic, Pop, Synth-pop",98,2013,48
18693,When I was your man,Bruno Mars,Pop,99,2013,48
18694,Yo te esperaré,Cali y Dandee,Latin,100,2013,48
18695,Wrecking ball,Miley Cyrus,Pop,1,2013,49
18696,Counting stars,OneRepublic,Pop,2,2013,49
18697,Timber,Pitbull;Ke$ha,"Pop Rap, Hip Hop",3,2013,49
18698,Royals,Lorde,"Electronic, Hip-House, House, Hip Hop",4,2013,49
18699,Burn,Ellie Goulding,Pop,5,2013,49
18700,The monster,Eminem;Rihanna,"Pop Rap, Pop, Hip Hop",6,2013,49
18701,Love me again,John Newman,"Pop, Soul, Electronic, Funk / Soul, Drum n Bass, House, Vocal",7,2013,49
18702,Can't hold us,Macklemore & Ryan Lewis;Ray Dalton,Hip Hop,8,2013,49
18703,A prueba de ti,Malú,"Pop, Ballad, Latin, Europop, Vocal",9,2013,49
18704,You make me,Avicii;Salem Al Fakir,"Electronic, House",10,2013,49
18705,You're nobody 'til somebody loves you,James Arthur,Pop,11,2013,49
18706,Come with me,Ricky Martin,"Pop, Electronic, Latin, Europop, Dance-pop",12,2013,49
18707,We can't stop,Miley Cyrus,Pop,13,2013,49
18708,Wake me up!,Avicii;Aloe Blacc,"Electronic, Progressive House",14,2013,49
18709,Llegará,Antonio Orozco,"Pop, Ballad, Latin, Rock, Pop Rock",15,2013,49
18710,Talk dirty,Jason Derülo;2 Chainz,Pop,16,2013,49
18711,Éxtasis,Pablo Alborán,"Vocal, Pop, Latin",17,2013,49
18712,Story of my life,One Direction,Pop,18,2013,49
18713,Qué bonita la vida,Dani Martín,"Pop, Pop Rock, Rock",19,2013,49
18714,La la la,Naughty Boy;Sam Smith,"Electronic, Pop, Garage House, House",20,2013,49
18715,Vi,Pablo López,"Jazz, Latin, Nueva Trova, Latin Jazz",21,2013,49
18716,True love,P!nk;Lily Allen,"Pop, Pop Rock, Rock",22,2013,49
18717,Cheque al portamor,Melendi,"Pop, Pop Rock, Rock",23,2013,49
18718,Unconditionally,Katy Perry,Pop,24,2013,49
18719,Hand on heart,Olly Murs;Edurne,Pop,25,2013,49
18720,Do what u want,Lady GaGa;R. Kelly,"Electronic, Pop, Electro, Synth-pop",26,2013,49
18721,This game is over,Alejandro Sanz;Emeli Sandé;Jamie Foxx,"Pop, Soft Rock, Ballad, Latin, Pop Rock",27,2013,49
18722,Hard out here,Lily Allen,"Electronic, Pop, Synth-pop",28,2013,49
18723,Plastic,Soraya,"Pop, Synth-pop, Electronic, Electro, Europop, Eurodance",29,2013,49
18724,Treasure,Bruno Mars,"Electronic, Pop, Dance-pop, Hip Hop",30,2013,49
18725,Live forever,Marien Baker;Shaun Frank,"Electronic, House, Electro House",31,2013,49
18726,La de la mala suerte,Jesse & Joy;Pablo Alborán,"Pop, Ballad, Latin, Rock, Pop Rock",32,2013,49
18727,Let her go,Passenger,"Pop, Folk, World, & Country",33,2013,49
18728,Breathe your fire,Auryn,"Pop, Pop Rock, Rock",34,2013,49
18729,Hecho con tus sueños,Efecto Pasillo;Leire Martínez,"Pop, Pop Rock, Rock",35,2013,49
18730,Applause,Lady GaGa,"Electronic, Pop, Electro, Synth-pop",36,2013,49
18731,Disaster,Mario Jefferson;JoJo,Pop,37,2013,49
18732,Despacito y con buena letra,El Viaje de Elliot,unknown,38,2013,49
18733,Blurred lines,Robin Thicke;Pharrell Williams;T.I.,"Electronic, Funk / Soul, Pop Rap, Hip Hop, RnB/Swing, Electro House",39,2013,49
18734,Roar,Katy Perry,Pop,40,2013,49
18735,Wrecking ball,Miley Cyrus,Pop,1,2013,50
18736,Counting stars,OneRepublic,Pop,2,2013,50
18737,The monster,Eminem;Rihanna,"Pop Rap, Pop, Hip Hop",3,2013,50
18738,Timber,Pitbull;Ke$ha,"Pop Rap, Hip Hop",4,2013,50
18739,Royals,Lorde,"Electronic, Hip-House, House, Hip Hop",5,2013,50
18740,Burn,Ellie Goulding,Pop,6,2013,50
18741,Can't hold us,Macklemore & Ryan Lewis;Ray Dalton,Hip Hop,7,2013,50
18742,Love me again,John Newman,"Pop, Soul, Electronic, Funk / Soul, Drum n Bass, House, Vocal",8,2013,50
18743,Story of my life,One Direction,Pop,9,2013,50
18744,You're nobody 'til somebody loves you,James Arthur,Pop,10,2013,50
18745,Talk dirty,Jason Derülo;2 Chainz,Pop,11,2013,50
